run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-direct-cold-0031,WASM,cold,no,1,205.0,204301.0,2017,3124,1921,5046,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:34:40.758919,1_WiFi_6,0,1,11238,0,0
30-04-2026-host-cold-0032,WASM,cold,no,1,188.0,187454.0,2019,7358,2003,9362,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:36:30.459199,1_WiFi_6,0,1,15376,0,0
30-04-2026-host-cold-0033,WASM,cold,no,1,140.0,139165.0,2016,6957,1982,8940,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:36:50.905518,1_WiFi_6,0,1,14739,0,0
30-04-2026-host-cold-0034,WASM,cold,no,1,182.0,181680.0,2018,6935,2102,9038,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:37:11.855798,1_WiFi_6,0,1,15441,0,0
30-04-2026-host-cold-0035,WASM,cold,no,1,144.0,143043.0,2018,7286,2034,9321,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:37:32.552291,1_WiFi_6,0,1,15124,0,0
30-04-2026-host-cold-0036,WASM,cold,no,1,168.0,167484.0,2018,6995,2052,9048,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:37:53.299612,1_WiFi_6,0,1,14970,0,0
30-04-2026-host-cold-0037,WASM,cold,no,1,174.0,173581.0,2019,6985,2003,8989,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:38:14.425658,1_WiFi_6,0,1,15494,0,0
30-04-2026-host-cold-0038,WASM,cold,no,1,192.0,191960.0,2017,7243,1969,9213,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:38:34.838272,1_WiFi_6,0,1,14980,0,0
30-04-2026-host-cold-0039,WASM,cold,no,1,152.0,151018.0,2018,6912,2015,8928,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:38:55.153353,1_WiFi_6,0,1,14724,0,0
30-04-2026-host-cold-0040,WASM,cold,no,1,198.0,197154.0,2013,6835,2218,9054,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:39:16.005228,1_WiFi_6,0,1,15396,0,0
30-04-2026-host-cold-0041,WASM,cold,no,1,197.0,196825.0,2015,7205,1961,9167,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:39:36.654914,1_WiFi_6,0,1,15010,0,0
