metric,value_column,metric_description,profile_label,benchmark,method_label,attempted_runs,successful_runs,fastest_value_ms,fastest_transfer_mode,fastest_run_id,fastest_checkpoint_ms,fastest_transfer_ms,fastest_restore_ms,fastest_predump_ms,slowest_value_ms,slowest_transfer_mode,slowest_run_id,slowest_checkpoint_ms,slowest_transfer_ms,slowest_restore_ms,slowest_predump_ms
migration_time,migration_time_ms,setup-excluded migration time,Starlink,TCP Client (CRIU),Post-copy,80,80,21444.0,direct,12-05-2026-direct-postcopy-0004,764.0,3108.0,505.0,0.0,23882.0,direct,12-05-2026-direct-postcopy-0023,750.0,4276.0,482.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,TCP Client (CRIU),Cold,80,48,30404.0,direct,12-05-2026-direct-cold-0044,328.0,10857.0,334.0,0.0,41869.0,host,12-05-2026-host-cold-0055,349.0,28543.0,306.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,TCP Client (CRIU),Pre-copy,79,73,87386.0,direct,12-05-2026-direct-precopy-0056,294.0,9661.0,295.0,56635.0,172405.0,host,12-05-2026-host-precopy-0043,279.0,24625.0,343.0,134243.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,TCP Client (CRIU),Post-copy,80,66,33082.0,direct,12-05-2026-direct-postcopy-0045,757.0,10061.0,1150.0,0.0,51376.0,host,13-05-2026-host-postcopy-0017,733.0,34695.0,1133.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,TCP Client (CRIU),Cold,80,74,49282.0,direct,15-05-2026-direct-cold-0025,350.0,21707.0,340.0,0.0,94054.0,host,16-05-2026-host-cold-0000,432.0,79371.0,413.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,TCP Client (CRIU),Pre-copy,80,58,172296.0,direct,15-05-2026-direct-precopy-0007,613.0,25029.0,315.0,121633.0,387426.0,host,15-05-2026-host-precopy-0010,631.0,57312.0,323.0,316133.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,TCP Client (CRIU),Post-copy,80,68,52487.0,direct,15-05-2026-direct-postcopy-0029,715.0,18176.0,1965.0,0.0,120064.0,host,15-05-2026-host-postcopy-0026,730.0,101051.0,3589.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,TCP Client (CRIU),Cold,60,52,181831.0,direct,24-05-2026-direct-cold-0002,340.0,166317.0,327.0,0.0,1044545.0,host,24-05-2026-host-cold-0009,348.0,1030581.0,338.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,TCP Client (CRIU),Pre-copy,60,34,786074.0,direct,24-05-2026-direct-precopy-0019,656.0,207932.0,314.0,561668.0,2958912.0,host,24-05-2026-host-precopy-0015,651.0,756998.0,336.0,2187234.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,TCP Client (CRIU),Post-copy,60,24,193101.0,direct,24-05-2026-direct-postcopy-0001,782.0,163250.0,12366.0,0.0,805563.0,host,24-05-2026-host-postcopy-0013,745.0,763638.0,25898.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,Game of Life (CRIU),Cold,80,80,13355.0,host,06-05-2026-host-cold-0022,338.0,4603.0,313.0,0.0,14601.0,direct,06-05-2026-direct-cold-0013,361.0,3593.0,335.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,Game of Life (CRIU),Pre-copy,80,80,33530.0,direct,06-05-2026-direct-precopy-0036,310.0,2652.0,370.0,20091.0,45869.0,host,06-05-2026-host-precopy-0007,401.0,3998.0,420.0,32812.0
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,Game of Life (CRIU),Post-copy,80,80,17194.0,host,06-05-2026-host-postcopy-0036,999.0,5021.0,319.0,0.0,21444.0,direct,06-05-2026-direct-postcopy-0025,1010.0,1547.0,332.0,0.0
