metric,benchmark,profile,method,fastest,slowest,successes
migration_time_ms,Counter (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 84\,625\\C/T/R/O: 536/9\,694/310/74\,085\\P: 60\,538}","\shortstack[l]{host / 169\,383\\C/T/R/O: 963/28\,148/292/139\,980\\P: 133\,535}",79/80
migration_time_ms,Counter (CRIU),TEE Best,Post-copy,"\shortstack[l]{direct / 34\,804\\C/T/R/O: 1\,185/11\,581/1\,104/20\,934}","\shortstack[l]{host / 52\,244\\C/T/R/O: 1\,066/30\,275/1\,085/19\,818}",80/80
migration_time_ms,Counter (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 42\,220\\C/T/R/O: 539/21\,922/289/19\,470}","\shortstack[l]{host / 91\,826\\C/T/R/O: 584/84\,478/299/6\,465}",80/80
migration_time_ms,Counter (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 156\,279\\C/T/R/O: 574/22\,402/312/132\,991\\P: 113\,796}","\shortstack[l]{host / 391\,500\\C/T/R/O: 899/50\,349/288/339\,964\\P: 333\,938}",78/80
migration_time_ms,Counter (CRIU),TEE Avg,Post-copy,"\shortstack[l]{direct / 60\,237\\C/T/R/O: 1\,027/21\,632/1\,916/35\,662}","\shortstack[l]{host / 112\,758\\C/T/R/O: 1\,072/81\,030/1\,932/28\,724}",80/80
migration_time_ms,Counter (CRIU),TEE Worst,Cold,"\shortstack[l]{direct / 162\,626\\C/T/R/O: 628/154\,216/304/7\,478}","\shortstack[l]{host / 1\,210\,458\\C/T/R/O: 644/1\,203\,139/317/6\,358}",59/59
migration_time_ms,Counter (CRIU),TEE Worst,Pre-copy,"\shortstack[l]{direct / 704\,734\\C/T/R/O: 906/177\,220/316/526\,292\\P: 518\,937}","\shortstack[l]{host / 2\,778\,233\\C/T/R/O: 912/1\,096\,566/317/1\,680\,438\\P: 1\,674\,253}",59/60
migration_time_ms,Counter (CRIU),TEE Worst,Post-copy,"\shortstack[l]{direct / 185\,144\\C/T/R/O: 1\,016/141\,376/13\,370/29\,382}","\shortstack[l]{host / 981\,125\\C/T/R/O: 970/925\,796/25\,829/28\,530}",60/60
migration_time_ms,TCP Client (CRIU),WiFi 6,Cold,"\shortstack[l]{host / 15\,522\\C/T/R/O: 352/2\,641/322/12\,207}","\shortstack[l]{direct / 17\,877\\C/T/R/O: 383/1\,614/306/15\,574}",80/80
migration_time_ms,TCP Client (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 32\,609\\C/T/R/O: 317/1\,624/321/30\,347\\P: 15\,689}","\shortstack[l]{host / 45\,047\\C/T/R/O: 354/2\,623/432/41\,638\\P: 27\,975}",79/79
