run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
28-04-2026-direct-cold-0040,WASM,cold,no,1,253.0,252797.0,2019,2489,2234,4724,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:41:36.926816,,0,1,10800,0,0
28-04-2026-direct-cold-0041,WASM,cold,no,1,159.0,158355.0,2019,2538,2055,4594,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:41:53.684598,,0,1,10403,0,0
28-04-2026-direct-cold-0042,WASM,cold,no,1,139.0,138176.0,2019,2466,1965,4432,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:42:10.481811,,0,1,10279,0,0
28-04-2026-direct-cold-0043,WASM,cold,no,1,133.0,132596.0,2018,2524,1962,4487,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:42:27.158539,,0,1,10336,0,0
28-04-2026-direct-cold-0044,WASM,cold,no,1,134.0,133529.0,2017,2478,1968,4447,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:42:44.382860,,0,1,10394,0,0
28-04-2026-direct-cold-0045,WASM,cold,no,1,132.0,131554.0,2019,2455,1966,4422,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:43:01.280392,,0,1,10324,0,0
28-04-2026-direct-cold-0046,WASM,cold,no,1,128.0,127898.0,2018,2481,1971,4453,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:43:17.871778,,0,1,10362,0,0
28-04-2026-direct-cold-0047,WASM,cold,no,1,152.0,151063.0,2018,2742,1974,4717,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:43:35.246749,,0,1,10796,0,0
28-04-2026-direct-cold-0048,WASM,cold,no,1,131.0,130523.0,2017,2474,1994,4469,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:43:51.851656,,0,1,10278,0,0
28-04-2026-direct-cold-0049,WASM,cold,no,1,126.0,125043.0,2020,2486,1941,4428,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:44:08.657117,,0,1,10371,0,0
28-04-2026-direct-cold-0050,WASM,cold,no,1,130.0,129252.0,2019,2477,1965,4443,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:44:25.152049,,0,1,10227,0,0
28-04-2026-direct-cold-0051,WASM,cold,no,1,132.0,131617.0,2017,2732,1975,4708,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:44:42.858041,,0,1,10911,0,0
28-04-2026-direct-cold-0052,WASM,cold,no,1,133.0,132678.0,2018,2461,1999,4461,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:44:59.667131,,0,1,10546,0,0
28-04-2026-direct-cold-0053,WASM,cold,no,1,139.0,138591.0,2018,2488,1989,4478,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:45:16.392959,,0,1,10357,0,0
28-04-2026-direct-cold-0054,WASM,cold,no,1,159.0,158870.0,2019,2485,1980,4466,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:45:33.349595,,0,1,10598,0,0
28-04-2026-direct-cold-0055,WASM,cold,no,1,127.0,126807.0,2016,2475,1973,4449,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:45:50.388102,,0,1,10304,0,0
28-04-2026-direct-cold-0056,WASM,cold,no,1,133.0,132990.0,2016,2447,2006,4454,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:46:07.290860,,0,1,10285,0,0
28-04-2026-direct-cold-0057,WASM,cold,no,1,137.0,136879.0,2014,2436,1962,4399,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:46:23.818941,,0,1,10175,0,0
28-04-2026-direct-cold-0058,WASM,cold,no,1,153.0,152678.0,2018,2490,2239,4730,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:46:40.939924,,0,1,10806,0,0
28-04-2026-direct-cold-0059,WASM,cold,no,1,147.0,146586.0,2019,2486,1978,4465,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:46:57.629992,,0,1,10287,0,0
